Ref,Val,Package,PosX,PosY,Rot,Side
"C2","CP3225A","CAPCP3225X100N_improved",153.350000,-90.650000,90.000000,bottom
"C1","C","C_0402_1005Metric",154.050000,-92.280000,-90.000000,top
"J1","Conn_01x08_Pin","FPC_1x08_P1.00mm_plug_3mm",156.950000,-90.500000,0.000000,top
"U1","DA14531_17-ball_WLCSP","DA14531_17-ball_WLCSP",153.422000,-90.295000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM13W-4Pin_1.2x1.0mm",151.660000,-91.690000,180.000000,top
