Ref,Val,Package,PosX,PosY,Rot,Side
"","","",153.400000,-91.950000,0.000000,top
"","","",156.000000,-87.800000,0.000000,top
"C1","C","C_0402_1005Metric",153.550000,-92.470000,-90.000000,top
"C3","C","C_0402_1005Metric",154.500000,-92.470000,-90.000000,top
"J1","Conn_01x08_Pin","FPC_1x08_P1.00mm_plug_3mm",156.950000,-90.500000,0.000000,top
"LED1","LED1","KPG-0402SURKKC-TT",154.850000,-90.660000,-90.000000,top
"U1","DA14531_17-ball_WLCSP","DA14531_17-ball_WLCSP",153.422000,-90.295000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM13W-4Pin_1.2x1.0mm",151.660000,-91.690000,180.000000,top
