Ref,Val,Package,PosX,PosY,Rot,Side
"","","",165.200000,-128.400000,180.000000,bottom
"C2","CPH3225A","CAPCP3225X100N_improved",168.950000,-128.200000,180.000000,bottom
"C3","C","C_0402_1005Metric",166.400000,-128.220000,90.000000,bottom
