Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","KPG-0402SURKKC-TT",126.040000,-71.820000,90.000000,top
"J1","Conn_01x08","FPC_1x08_P1.00mm_plug_3mm",126.550000,-66.425000,90.000000,top
"R1","10K","R_01005_0402Metric",126.700000,-70.970000,90.000000,top
"R2","10K","R_01005_0402Metric",126.700000,-72.175000,-90.000000,top
"U1","LIS2DU12TR","LGA-12L_LIS2DU12_STM",128.400100,-71.549999,0.000000,top
"U2","DA14531-00000OG2","DA14531_17-ball_WLCSP",121.512000,-71.595000,0.000000,top
"Y1","ABM13W-32MHz","Crystal_SMD_Abracon_ABM13W-4Pin_1.2x1.0mm",119.640000,-71.770000,-90.000000,top
