Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CPH3225A","CAPCP3225X100N_improved",128.200000,-71.600000,180.000000,bottom
"C2","C_Polarized","C_0402_1005Metric",121.610000,-71.100000,0.000000,bottom
"C3","C_Polarized","C_0402_1005Metric",121.610000,-72.100000,0.000000,bottom
